id,name,category,price_amount,price_currency,summary,copyrights,artist,image_url,itunes_medium_id,created_at,updated_at
867,"Madonna: Rebel Heart Tour","映画",3000,JPY,"MADONNA’s record-breaking REBEL HEART TOUR features 24 tracks performed around the world on her 10th global trek. Co-directed by Danny B. Tull and Nathan Rissman, this two hour spectacular is everything (and more) you’d expect from The Queen Of Pop.   The tracklist spans Madonna’s entire career, including songs from her chart-topping Rebel Heart album and classic fan favourites. Reimagined versions of some of her biggest hits make this the latest unmissable chapter in a lifetime of breathtaking creative achievements.   The Rebel Heart Tour played arenas in 55 cities on 4 continents over 7 months, totalling 82 shows, plus the special “Tears Of A Clown” fan club show in Melbourne. The envelope-pushing performances and production drew over a million fans, making Madonna the highest grossing solo touring artist and top female solo artist of all time.   “Unstoppable” New York Times “There’s nobody else near her throne” Rolling Stone “A display of superstar invincibility” Financial Times.",,MADONNA,http://is4.mzstatic.com/image/thumb/Video128/v4/ae/d7/36/aed7362a-a07f-95dd-7bee-89619de72fee/00670211032765.jpg/170x170bb-85.jpg,1269353335,"2017-11-21 18:17:21.873418","2017-11-21 18:17:21.873418"
868,"平井 大 Live Tour 2017 ~LOCALS ONLY~ at TOKYO DOME CITY HALL","映画",2000,JPY,"2017年4月9日東京ドームシティホールにて行われたLive Tour 2017 ~LOCALS ONLY~のファイナル公演の模様を全12曲収録!人気ナンバー多数収録、新アレンジの楽曲も多く、見応えのある内容となっている。(収録曲目)虹の向こう / Faraway / Slow & Easy / The Light ~青い空~ / Beautiful / 祈り花 / Thinking of You / A Good Day / Any day / Summer Queen / Kiss Me Baby / Life is Beautiful",,"平井 大",http://is5.mzstatic.com/image/thumb/Video127/v4/4e/c6/01/4ec601f0-a6b3-8c04-8ffe-34894a38ae36/005_AAA_ANTMB_A0217318_MFA01.jpg/170x170bb-85.jpg,1245552286,"2017-11-21 18:17:21.880893","2017-11-21 18:17:21.880893"
869,"Madonna: MDNA World Tour (字幕版)","映画",3500,JPY,"マドンナの『MDNAワールド・ツアー』は29ヵ国にてソールドアウトを記録し2012年最も成功したツアーとなった。マドンナはツアーを「一部ミュージカル映画のようで一部スペクタクルでありながらとても親近感のあるパフォーマンス・アート」と表現している。マテリアル・ガール＝マドンナは、30台のカメラが撮影した80公演の映像を自身で6ヵ月間かけて編集を行い、結果ゴージャスなライヴの最前列に座っているような映像が完成した。25人のダンサーの止まらないパフォーマンスや多数の衣装チェンジ、そして「ライク・ア・プレイヤー」「ヴォーグ」や「エクスプレス・ユアセルフ」等の名曲と共にグラミー受賞アーティストの壮大なエンターテイメントを体感できる作品となっている。",,MADONNA,http://is3.mzstatic.com/image/thumb/Video5/v4/32/ea/fd/32eafded-3bef-6a85-6377-6766e2756f63/00602537566754.jpg/170x170bb-85.jpg,873338469,"2017-11-21 18:17:21.885785","2017-11-21 18:17:21.885785"
870,"SAKANACTION:SAKANAQUARIUM 2010 (C)","映画",3500,JPY,"4th ALBUM「kikUUiki」を携えた全国ツアー「SAKANAQUARIUM 2010“kikUUiki”」 ファイナルである2010年5月15日新木場STUDIO COAST公演の映像作品。",,"サカナクション",http://is5.mzstatic.com/image/thumb/Video5/v4/b8/89/11/b8891190-50e1-3e29-1aed-50b9cf2583ad/VE014_sakanaction_2010C_P01.jpg/170x170bb-85.jpg,794326884,"2017-11-21 18:17:21.891596","2017-11-21 18:17:21.891596"
871,"Bob Dylan: The 30th Anniversary Concert Celebration","映画",2000,JPY,"On October 16, 1992, New York City's hottest concert ticket was the live gathering of musical giants, legend and archetypes who'd come to Madison Square Garden to celebrate the 30th anniversary of Bob Dylan's first Columbia Records album and play a selection of Dylan songs—from culturally iconic (John Mellencamp's no-nonsense ""Like A Rolling Stone"") to bootleg obscure (Lou Reed's acerbic take on ""Foot of Pride"")—that had moved and inspired them over the decades. The four hour show, performed for a sold-out audience of more than 18,000 fans and live-cast around the world, brought together an unprecedented roster of artists and icons including Johnny Cash and June Carter Cash, Lou Reed, The Clancy Brothers, Ritchie Havens, Johnny Winter, Roger McGuinn, Tom Petty & the Heartbreakers, Stevie Wonder, Willie Nelson, Kris Kristofferson, Neil Young, Eric Clapton, Ron Wood, Chrissie Hynde, The O'Jays, Eddie Vedder, Sinéad O'Connor, Tracy Chapman, George Harrison (then making his first US concert appearance in 18 years) and more. Providing musical backing throughout the show was an ensemble dream team featuring three members of Booker T. & The M.G.'s, G.E. Smith on guitar with Jim Keltner and Anton Fig on drums. Dubbed ""Bobfest"" on stage by a jubilant Neil Young, the 30th Anniversary Concert Celebration reached a transcendent crescendo with an unforgettable performance and all-star jam featuring the evening's honoree. Viewed anew from a 20-year perspective, Bob Dylan - The 30th Anniversary Concert Celebration - Deluxe Edition is a remarkable testament to the enduring legacy and ongoing musical influence of Bob Dylan. That valedictory gathering from more than 20 years ago proved to be a mid-career retrospective of a recording artist and performer who continues to inform and transform the cultural landscape.",,"ボブ・ディラン",http://is1.mzstatic.com/image/thumb/Video5/v4/ca/d1/15/cad115c7-023d-68a3-cbee-25f0f4fdeb8b/BobDylan_The30thAnniversaryConcertCelebration_G010003106471F_1400x2100Poster_FINAL.jpg/170x170bb-85.jpg,816782913,"2017-11-21 18:17:21.896854","2017-11-21 18:17:21.896854"
872,"悲しみの忘れ方 Documentary of 乃木坂 46","映画",2500,JPY,"少女たちの言葉を通じて「人は生まれ変われる」ことを描く。密着取材で初めて明かされる幼少時代、オーディションを受けた本当の理由、秘密の場所と時間。さらに彼女たちに寄り添ってきた母親から明かされる真実。インタビューを重ねながら振り返る、メンバーそれぞれが背負ってきたつらい思い出や知られたくなかった過去の数々。ある者は学校での疎外感から逃げるように乃木坂46に入ってきた。ある者は自分が大嫌いで、半ば自暴自棄のようにオーディションに応募した。「違う自分になりたかった」彼女たちの人生は、合格した瞬間から大きく動き出していく――。そこに待っていたのは、まぶしい光と陰の新しい世界、そして同じように“孤独”と戦っていた新しい仲間たちだった。",,"丸山健志",http://is2.mzstatic.com/image/thumb/Video49/v4/7c/51/29/7c51292c-1ae4-9833-cda9-b0e09883dc72/Kanasimino_Wakarekata_Documentary_of_Nogizaka46.jpg/170x170bb-85.jpg,1058738056,"2017-11-21 18:17:23.386898","2017-11-21 18:17:23.386898"
873,"オーシャンズ (吹替版)","映画",2000,JPY,"命の原点、感動の頂点へようこそ。『アース』『ディープ・ブルー』を超える、史上最大のドキュメンタリープロジェクト発動！制作費70億円、構想10年、撮影期間4年間、世界50ヶ所、撮影70回、そして100種の生命たち―最新の映像機材でとらえた奇跡の瞬間が、あなたを神秘の深海へと誘い込む。",,"ジャック・ペラン & ジャック・クルーゾ",http://is5.mzstatic.com/image/thumb/Video71/v4/57/78/b4/5778b4c9-9bb3-5a34-66f9-7cbddd91f3b5/pr_source.png/170x170bb-85.jpg,533158361,"2017-11-21 18:17:23.396095","2017-11-21 18:17:23.396095"
874,"ホームレス ニューヨークと寝た男 (字幕版)","映画",2500,JPY,"快活な話術でニューヨークの街ゆくファッショニスタたちに声をかけシャッターを切るファッション・フォトグラファーのマーク(52歳)。元モデルのハンサムでチャーミングなルックス。だが華やかなパーティー会場を後に向かった寝床はとあるアパートメントの「屋上」だった。荷物はスポーツ・ジムのロッカー4つ分。身だしなみはジムのシャワールームや公園のトイレで整える。世界一スタイリッシュなホームレスのニューヨークで家を持たずに暮らす方法とは？",,"トーマス・ヴィルテンゾーン",http://is1.mzstatic.com/image/thumb/Video118/v4/17/c6/06/17c606c4-271e-84ad-3ae1-e4ee31ba624f/Homme_Less.jpg/170x170bb-85.jpg,1280980048,"2017-11-21 18:17:23.404109","2017-11-21 18:17:23.404109"
875,Motive,"映画",600,JPY,"MOTIVE is a freeride mountain bike film combining progressive riding with cutting edge filmmaking. MOTIVE is the collaboration of the filming talents of Mind Spark Cinema and the filming and riding talents of the Coastal Crew. Motive, shot across British Columbia and California, is a film oozing with the effortless style and progression of Curtis Robinson, Dylan Dunkerton, Finn Iles, Garret Mechem, Matt Miles and Matt Hunter.",,"Nic Genovese, Aaron LaRocque & Dylan Dunkerton",http://is3.mzstatic.com/image/thumb/Video118/v4/46/1f/13/461f1332-9642-ee79-af78-68a3d478782b/pr_source.jpg/170x170bb-85.jpg,1298898838,"2017-11-21 18:17:23.411551","2017-11-21 18:17:23.411551"
876,Proximity,"映画",1800,JPY,"Proximity is a film that pairs surfing’s living legends with today’s most progressive young surfers. The film is directed by award-winning filmmaker Taylor Steele and produced by Teton Gravity Research (TGR) in association with Garage Productions. Proximity will explore the delicate relationship between people, time, and place, showcasing surfing icons from different generations in diverse locations around the world.",,"Taylor Steele",http://is1.mzstatic.com/image/thumb/Video118/v4/2d/f5/7c/2df57cd0-378a-2ce3-d9f5-dfc3ba097399/pr_source.jpg/170x170bb-85.jpg,1263687863,"2017-11-21 18:17:23.419389","2017-11-21 18:17:23.419389"
